@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 {0,1,2,3}
@attribute outputs-3 {0,1,2,3}
@attribute outputs-4 {0,1,2,3}

@data
816,'2018/02/24 11:55:28:752',5,25.065088,14.585186,-12.402161,?,?,?,?
817,'2018/02/24 11:55:28:786',5,25.275923,13.654949,-12.812149,?,?,?,?
818,'2018/02/24 11:55:28:817',5,25.486364,12.890644,-13.187653,?,?,?,?
819,'2018/02/24 11:55:28:859',5,25.672504,12.285057,-13.548843,?,?,?,?
820,'2018/02/24 11:55:28:886',5,25.854141,11.88517,-13.899612,?,?,?,?
821,'2018/02/24 11:55:28:916',5,26.040298,11.661457,-14.307663,?,?,?,?
822,'2018/02/24 11:55:28:955',5,26.196135,11.54998,-14.807404,?,?,?,?
823,'2018/02/24 11:55:28:989',5,26.333071,11.591843,-15.468002,?,?,?,?
824,'2018/02/24 11:55:29:016',5,26.414877,11.669071,-16.198135,?,?,?,?
825,'2018/02/24 11:55:29:061',5,26.414261,11.727139,-16.85199,?,?,?,?
826,'2018/02/24 11:55:29:085',5,26.268427,11.782261,-17.558426,?,?,?,?
827,'2018/02/24 11:55:29:116',5,26.103174,11.638748,-17.764755,?,?,?,?
828,'2018/02/24 11:55:29:157',5,25.967316,11.534321,-17.663406,?,?,?,?
829,'2018/02/24 11:55:29:186',5,25.834009,11.594337,-17.358215,?,?,?,?
830,'2018/02/24 11:55:29:219',5,25.680775,11.862816,-17.002213,?,?,?,?
831,'2018/02/24 11:55:29:255',5,26.154716,10.277382,-16.12233,?,?,?,?
832,'2018/02/24 11:55:29:290',5,26.050789,10.377769,-15.573074,?,?,?,?
833,'2018/02/24 11:55:29:317',5,26.266991,9.002563,-15.385544,?,?,?,?
834,'2018/02/24 11:55:29:355',5,26.040241,7.961246,-15.203293,?,?,?,?
835,'2018/02/24 11:55:29:388',5,25.715471,7.320236,-15.317825,?,?,?,?
836,'2018/02/24 11:55:29:420',5,25.985733,0.769093,-17.070633,?,?,?,?
837,'2018/02/24 11:55:29:454',5,23.816502,-2.804195,-17.850067,?,?,?,?
838,'2018/02/24 11:55:29:486',5,23.246864,-9.448238,-20.768265,?,?,?,?
839,'2018/02/24 11:55:29:523',5,22.28093,-13.170282,-23.20192,?,?,?,?
840,'2018/02/24 11:55:29:555',5,21.101316,-15.273012,-25.662476,?,?,?,?
841,'2018/02/24 11:55:29:588',5,21.657179,-22.349169,-28.563965,?,?,?,?
842,'2018/02/24 11:55:29:622',5,22.070097,-27.175343,-30.82869,?,?,?,?
843,'2018/02/24 11:55:29:664',5,22.041536,-30.412083,-32.901184,?,?,?,?
844,'2018/02/24 11:55:29:688',5,21.926443,-32.585197,-34.652512,?,?,?,?
845,'2018/02/24 11:55:29:723',5,21.513254,-36.116825,-37.712753,?,?,?,?
846,'2018/02/24 11:55:29:756',5,21.694914,-38.948788,-38.351013,?,?,?,?
847,'2018/02/24 11:55:29:786',5,21.036783,-44.080074,-40.305801,?,?,?,?
848,'2018/02/24 11:55:29:822',5,20.464531,-49.138443,-38.50177,?,?,?,?
849,'2018/02/24 11:55:29:856',5,19.770485,-53.202499,-37.591675,?,?,?,?
850,'2018/02/24 11:55:29:895',5,19.480482,-56.729889,-36.231827,?,?,?,?
851,'2018/02/24 11:55:29:927',5,22.053738,-63.27404,-28.049942,?,?,?,?
852,'2018/02/24 11:55:29:953',5,22.206335,-66.988251,-23.525192,?,?,?,?
853,'2018/02/24 11:55:29:987',5,21.746239,-67.697449,-22.252747,?,?,?,?
854,'2018/02/24 11:55:30:022',5,20.052763,-67.072166,-22.380371,?,?,?,?
855,'2018/02/24 11:55:30:056',5,19.490515,-68.219864,-22.399292,?,?,?,?
856,'2018/02/24 11:55:30:097',5,18.884808,-70.183395,-26.053955,?,?,?,?
857,'2018/02/24 11:55:30:120',5,18.686592,-71.980423,-28.518204,?,?,?,?
858,'2018/02/24 11:55:30:153',5,19.104956,-75.823006,-31.060913,?,?,?,?
859,'2018/02/24 11:55:30:184',5,19.29776,-77.667267,-31.877396,?,?,?,?
860,'2018/02/24 11:55:30:224',5,19.557812,-79.568764,-32.157654,?,?,?,?
861,'2018/02/24 11:55:30:257',5,19.681374,-80.593246,-32.129959,?,?,?,?
862,'2018/02/24 11:55:30:289',5,19.72266,-81.264755,-31.849564,?,?,?,?
863,'2018/02/24 11:55:30:331',5,19.713516,-81.591248,-31.384033,?,?,?,?
864,'2018/02/24 11:55:30:353',5,19.656382,-81.663452,-30.839905,?,?,?,?
865,'2018/02/24 11:55:30:388',5,19.588699,-81.579918,-30.350433,?,?,?,?
866,'2018/02/24 11:55:30:422',5,19.528885,-81.461143,-29.987061,?,?,?,?
867,'2018/02/24 11:55:30:460',5,19.482958,-81.336922,-29.718353,?,?,?,?
868,'2018/02/24 11:55:30:487',5,19.441216,-81.201088,-29.525558,?,?,?,?
869,'2018/02/24 11:55:30:529',5,19.406422,-81.078461,-29.40567,?,?,?,?
870,'2018/02/24 11:55:30:554',5,19.352219,-80.871643,-29.339798,?,?,?,?
871,'2018/02/24 11:55:30:588',5,19.303211,-80.652756,-29.371338,?,?,?,?
872,'2018/02/24 11:55:30:626',5,19.135717,-79.013428,-29.567032,?,?,?,?
873,'2018/02/24 11:55:30:657',5,19.115101,-78.000618,-29.945374,?,?,?,?
874,'2018/02/24 11:55:30:686',5,19.27014,-76.322998,-30.759659,?,?,?,?
875,'2018/02/24 11:55:30:720',5,19.530134,-74.310509,-32.230438,?,?,?,?
876,'2018/02/24 11:55:30:755',5,19.75606,-71.282539,-33.986603,?,?,?,?
877,'2018/02/24 11:55:30:792',5,20.156799,-67.160645,-35.159424,?,?,?,?
878,'2018/02/24 11:55:30:824',5,20.46258,-63.806976,-36.102692,?,?,?,?
879,'2018/02/24 11:55:30:854',5,20.675634,-59.770943,-37.272202,?,?,?,?
880,'2018/02/24 11:55:30:892',5,20.250671,-54.667839,-36.997314,?,?,?,?
881,'2018/02/24 11:55:30:928',5,20.256327,-50.998177,-36.751526,?,?,?,?
882,'2018/02/24 11:55:30:954',5,20.33614,-46.073872,-36.381912,?,?,?,?
883,'2018/02/24 11:55:30:987',5,19.578468,-42.158684,-34.707794,?,?,?,?
884,'2018/02/24 11:55:31:023',5,19.735012,-39.451,-33.827118,?,?,?,?
885,'2018/02/24 11:55:31:056',5,20.526972,-33.570427,-35.595337,?,?,?,?
886,'2018/02/24 11:55:31:093',5,23.582851,-30.062084,-32.084717,?,?,?,?
887,'2018/02/24 11:55:31:127',5,24.097656,-26.484003,-28.856445,?,?,?,?
888,'2018/02/24 11:55:31:156',5,23.741541,-23.932396,-26.068344,?,?,?,?
889,'2018/02/24 11:55:31:192',5,23.615156,-22.374788,-25.055435,?,?,?,?
890,'2018/02/24 11:55:31:221',5,21.822941,-16.770252,-25.173813,?,?,?,?
891,'2018/02/24 11:55:31:255',5,20.936926,-12.504141,-25.513504,?,?,?,?
892,'2018/02/24 11:55:31:293',5,20.746283,-10.254118,-25.559998,?,?,?,?
893,'2018/02/24 11:55:31:327',5,20.89102,-7.651854,-25.581589,?,?,?,?
894,'2018/02/24 11:55:31:364',5,20.855717,-4.22924,-25.226547,?,?,?,?
895,'2018/02/24 11:55:31:392',5,21.008013,-2.546852,-24.930481,?,?,?,?
896,'2018/02/24 11:55:31:422',5,21.897877,-0.010475,-24.21022,?,?,?,?
897,'2018/02/24 11:55:31:456',5,19.622686,5.520695,-22.276581,?,?,?,?
898,'2018/02/24 11:55:31:494',5,18.213284,9.171883,-20.860107,?,?,?,?
899,'2018/02/24 11:55:31:526',5,17.891523,10.708229,-20.384018,?,?,?,?
900,'2018/02/24 11:55:31:566',5,17.859123,11.642609,-19.971893,?,?,?,?
901,'2018/02/24 11:55:31:595',5,17.907139,13.138447,-19.534836,?,?,?,?
902,'2018/02/24 11:55:31:625',5,18.224796,15.419254,-18.34581,?,?,?,?
903,'2018/02/24 11:55:31:655',5,18.178907,19.413948,-16.694107,?,?,?,?
904,'2018/02/24 11:55:31:694',5,17.73559,23.223644,-14.673447,?,?,?,?
905,'2018/02/24 11:55:31:727',5,16.620369,28.751095,-12.286362,?,?,?,?
906,'2018/02/24 11:55:31:762',5,16.186234,31.150608,-11.289597,?,?,?,?
907,'2018/02/24 11:55:31:794',5,16.049549,32.371712,-10.670654,?,?,?,?
908,'2018/02/24 11:55:31:829',5,15.963744,33.003902,-10.122467,?,?,?,?
909,'2018/02/24 11:55:31:852',5,15.874043,33.146751,-9.558502,?,?,?,?
910,'2018/02/24 11:55:31:894',5,15.734118,33.137459,-8.93927,?,?,?,?
911,'2018/02/24 11:55:31:926',5,15.606109,33.130116,-8.276154,?,?,?,?
912,'2018/02/24 11:55:31:957',5,15.514,33.090881,-7.651901,?,?,?,?
913,'2018/02/24 11:55:31:999',5,15.473553,33.06776,-7.050964,?,?,?,?
914,'2018/02/24 11:55:32:020',5,15.526882,33.025532,-6.490875,?,?,?,?
915,'2018/02/24 11:55:32:062',5,15.766804,33.01754,-5.883377,?,?,?,?
916,'2018/02/24 11:55:32:094',5,16.709152,33.153393,-5.026169,?,?,?,?
917,'2018/02/24 11:55:32:126',5,17.861231,33.454643,-4.25383,?,?,?,?
918,'2018/02/24 11:55:32:164',5,18.879333,33.66037,-3.748169,?,?,?,?
919,'2018/02/24 11:55:32:197',5,19.719378,33.785671,-3.442032,?,?,?,?
920,'2018/02/24 11:55:32:222',5,20.340534,33.82478,-3.274979,?,?,?,?
921,'2018/02/24 11:55:32:261',5,20.784977,33.781315,-3.209457,?,?,?,?
922,'2018/02/24 11:55:32:294',5,21.150284,33.562653,-3.337051,?,?,?,?
923,'2018/02/24 11:55:32:327',5,21.334555,33.083607,-3.709915,?,?,?,?
924,'2018/02/24 11:55:32:357',5,20.961275,31.510502,-4.906036,?,?,?,?
925,'2018/02/24 11:55:32:398',5,20.85857,26.692417,-6.675781,?,?,?,?
926,'2018/02/24 11:55:32:420',5,20.334778,24.308128,-7.671509,?,?,?,?
927,'2018/02/24 11:55:32:461',5,20.4795,20.060658,-8.966156,?,?,?,?
928,'2018/02/24 11:55:32:493',5,20.99955,15.919449,-10.113724,?,?,?,?
929,'2018/02/24 11:55:32:526',5,21.373859,13.394733,-10.397903,?,?,?,?
930,'2018/02/24 11:55:32:562',5,22.283295,10.244083,-10.792587,?,?,?,?
931,'2018/02/24 11:55:32:596',5,23.732077,6.638504,-11.359207,?,?,?,?
932,'2018/02/24 11:55:32:622',5,24.641649,3.664825,-11.950562,?,?,?,?
933,'2018/02/24 11:55:32:662',5,25.367708,0.199593,-12.772202,?,?,?,?
934,'2018/02/24 11:55:32:694',5,26.836956,-7.967482,-16.33963,?,?,?,?
935,'2018/02/24 11:55:32:721',5,27.139856,-12.672184,-18.610443,?,?,?,?
936,'2018/02/24 11:55:32:762',5,26.066013,-15.576153,-20.596603,?,?,?,?
937,'2018/02/24 11:55:32:800',5,25.879984,-22.400967,-23.037491,?,?,?,?
938,'2018/02/24 11:55:32:830',5,25.850861,-26.413065,-24.842026,?,?,?,?
939,'2018/02/24 11:55:32:856',5,25.800556,-29.389019,-26.065109,?,?,?,?
940,'2018/02/24 11:55:32:892',5,26.203283,-32.398167,-28.092453,?,?,?,?
941,'2018/02/24 11:55:32:926',5,27.3265,-40.174873,-30.038956,?,?,?,?
942,'2018/02/24 11:55:32:962',5,27.803953,-46.676964,-31.312683,?,?,?,?
943,'2018/02/24 11:55:32:996',5,27.877188,-55.093033,-34.113098,?,?,?,?
944,'2018/02/24 11:55:33:029',5,30.484959,-59.93692,-27.022202,?,?,?,?
945,'2018/02/24 11:55:33:056',5,31.64023,-64.071243,-23.355499,?,?,?,?
946,'2018/02/24 11:55:33:088',5,33.593243,-70.445702,-23.086121,?,?,?,?
947,'2018/02/24 11:55:33:122',5,35.123581,-74.941528,-22.146103,?,?,?,?
948,'2018/02/24 11:55:33:164',5,35.800854,-77.348999,-21.2332,?,?,?,?
949,'2018/02/24 11:55:33:199',5,36.092129,-78.78968,-20.036804,?,?,?,?
950,'2018/02/24 11:55:33:226',5,35.972034,-79.517105,-18.526276,?,?,?,?
951,'2018/02/24 11:55:33:262',5,35.510803,-79.767517,-16.882217,?,?,?,?
952,'2018/02/24 11:55:33:288',5,34.852085,-79.522659,-15.445862,?,?,?,?
953,'2018/02/24 11:55:33:329',5,34.167786,-79.137497,-14.338348,?,?,?,?
954,'2018/02/24 11:55:33:361',5,33.531593,-78.764458,-13.56459,?,?,?,?
955,'2018/02/24 11:55:33:393',5,32.905773,-78.277695,-13.044968,?,?,?,?
956,'2018/02/24 11:55:33:440',5,32.242535,-77.666275,-12.832855,?,?,?,?
957,'2018/02/24 11:55:33:468',5,31.49391,-77.020599,-13.025818,?,?,?,?
958,'2018/02/24 11:55:33:499',5,30.501966,-76.29599,-14.024094,?,?,?,?
959,'2018/02/24 11:55:33:526',5,29.260561,-75.819244,-16.202744,?,?,?,?
960,'2018/02/24 11:55:33:561',5,28.310432,-75.499077,-18.932236,?,?,?,?
961,'2018/02/24 11:55:33:594',5,27.193249,-75.216263,-22.392029,?,?,?,?
962,'2018/02/24 11:55:33:633',5,26.544746,-74.276833,-26.479004,?,?,?,?
963,'2018/02/24 11:55:33:658',5,26.324987,-72.467033,-30.741898,?,?,?,?
964,'2018/02/24 11:55:33:693',5,26.702578,-69.856705,-35.41571,?,?,?,?
965,'2018/02/24 11:55:33:729',5,27.388134,-66.080528,-40.044479,?,?,?,?
966,'2018/02/24 11:55:33:762',5,28.133991,-60.099827,-43.234879,?,?,?,?
967,'2018/02/24 11:55:33:795',5,28.604811,-53.583305,-46.978516,?,?,?,?
968,'2018/02/24 11:55:33:831',5,28.474146,-46.977516,-51.168884,?,?,?,?
969,'2018/02/24 11:55:33:864',5,27.978691,-40.238831,-53.813461,?,?,?,?
970,'2018/02/24 11:55:33:888',5,27.127838,-33.412449,-55.696442,?,?,?,?
971,'2018/02/24 11:55:33:929',5,26.804749,-23.331644,-54.831528,?,?,?,?
972,'2018/02/24 11:55:33:962',5,28.142956,-14.839735,-46.029572,?,?,?,?
973,'2018/02/24 11:55:33:993',5,28.215305,-6.084095,-42.667542,?,?,?,?
974,'2018/02/24 11:55:34:031',5,28.25103,-1.935539,-37.057312,?,?,?,?
975,'2018/02/24 11:55:34:066',5,27.901525,2.715454,-32.79924,?,?,?,?
976,'2018/02/24 11:55:34:089',5,26.316362,10.365707,-29.894669,?,?,?,?
977,'2018/02/24 11:55:34:130',5,24.804537,15.203384,-27.263794,?,?,?,?
978,'2018/02/24 11:55:34:164',5,23.699898,19.284683,-24.575104,?,?,?,?
979,'2018/02/24 11:55:34:191',5,22.840414,21.743893,-22.38649,?,?,?,?
980,'2018/02/24 11:55:34:230',5,21.744118,24.214279,-19.18718,?,?,?,?
981,'2018/02/24 11:55:34:268',5,21.044739,25.574612,-16.959198,?,?,?,?
982,'2018/02/24 11:55:34:294',5,19.572231,29.245255,-13.718903,?,?,?,?
983,'2018/02/24 11:55:34:327',5,18.771357,29.431957,-10.954834,?,?,?,?
984,'2018/02/24 11:55:34:362',5,18.023716,27.954376,-7.86377,?,?,?,?
985,'2018/02/24 11:55:34:394',5,17.392178,27.217949,-5.737793,?,?,?,?
986,'2018/02/24 11:55:34:430',5,16.822487,26.787628,-3.876419,?,?,?,?
987,'2018/02/24 11:55:34:468',5,16.483013,26.586212,-2.815018,?,?,?,?
988,'2018/02/24 11:55:34:496',5,14.70865,30.610046,1.329819,?,?,?,?
989,'2018/02/24 11:55:34:527',5,14.000201,30.807968,3.103439,?,?,?,?
990,'2018/02/24 11:55:34:562',5,13.520572,31.106689,4.267899,?,?,?,?
991,'2018/02/24 11:55:34:597',5,14.455096,27.101978,3.439423,?,?,?,?
992,'2018/02/24 11:55:34:630',5,16.525177,22.836967,0.565201,?,?,?,?
993,'2018/02/24 11:55:34:664',5,18.066694,19.346336,-1.808563,?,?,?,?
994,'2018/02/24 11:55:34:697',5,18.826107,17.408924,-3.200882,?,?,?,?
995,'2018/02/24 11:55:34:729',5,17.99795,17.701183,-2.619278,?,?,?,?
996,'2018/02/24 11:55:34:759',5,19.521393,14.99342,-6.73024,?,?,?,?
997,'2018/02/24 11:55:34:794',5,20.712769,12.29163,-9.920074,?,?,?,?
998,'2018/02/24 11:55:34:830',5,21.321608,11.310978,-11.337631,?,?,?,?
999,'2018/02/24 11:55:34:866',5,22.961643,7.440384,-14.227219,?,?,?,?
1000,'2018/02/24 11:55:34:895',5,23.886915,3.275406,-15.84697,?,?,?,?
1001,'2018/02/24 11:55:34:926',5,23.682302,1.881283,-15.037567,?,?,?,?
1002,'2018/02/24 11:55:34:961',5,23.742176,0.171791,-14.908081,?,?,?,?
1003,'2018/02/24 11:55:34:997',5,22.656223,-8.452711,-19.760178,?,?,?,?
1004,'2018/02/24 11:55:35:028',5,22.03607,-13.115692,-23.430511,?,?,?,?
1005,'2018/02/24 11:55:35:063',5,23.91276,-22.090767,-27.039597,?,?,?,?
1006,'2018/02/24 11:55:35:095',5,25.646065,-30.354898,-30.487793,?,?,?,?
1007,'2018/02/24 11:55:35:128',5,26.856157,-37.42329,-32.336945,?,?,?,?
1008,'2018/02/24 11:55:35:163',5,27.866417,-42.936726,-35.373001,?,?,?,?
1009,'2018/02/24 11:55:35:198',5,28.414532,-50.053505,-37.652115,?,?,?,?
1010,'2018/02/24 11:55:35:229',5,27.165154,-57.174023,-32.310806,?,?,?,?
1011,'2018/02/24 11:55:35:263',5,27.498011,-66.529526,-25.198486,?,?,?,?
1012,'2018/02/24 11:55:35:296',5,27.934216,-74.72522,-24.612976,?,?,?,?
1013,'2018/02/24 11:55:35:327',5,27.91152,-80.40358,-22.081345,?,?,?,?
1014,'2018/02/24 11:55:35:361',5,27.688704,-82.063187,-19.543472,?,?,?,?
1015,'2018/02/24 11:55:35:397',5,27.583431,-82.717041,-17.034958,?,?,?,?
1016,'2018/02/24 11:55:35:426',5,27.445175,-82.648399,-15.057541,?,?,?,?
1017,'2018/02/24 11:55:35:461',5,27.310568,-82.458969,-13.507019,?,?,?,?
1018,'2018/02/24 11:55:35:499',5,27.174522,-81.488663,-12.775558,?,?,?,?
1019,'2018/02/24 11:55:35:528',5,27.057766,-80.765076,-12.368759,?,?,?,?
1020,'2018/02/24 11:55:35:561',5,26.953793,-80.216888,-12.199036,?,?,?,?
1021,'2018/02/24 11:55:35:596',5,26.842592,-79.809158,-12.248718,?,?,?,?
1022,'2018/02/24 11:55:35:627',5,26.735052,-79.531517,-12.596802,?,?,?,?
1023,'2018/02/24 11:55:35:663',5,26.647665,-79.26326,-13.579559,?,?,?,?
1024,'2018/02/24 11:55:35:706',5,26.611446,-79.00824,-15.473312,?,?,?,?
1025,'2018/02/24 11:55:35:730',5,26.472691,-78.231461,-18.866058,?,?,?,?
1026,'2018/02/24 11:55:35:761',5,26.393803,-76.218666,-23.459869,?,?,?,?
1027,'2018/02/24 11:55:35:796',5,26.123644,-72.867752,-28.136734,?,?,?,?
1028,'2018/02/24 11:55:35:828',5,25.981623,-67.618996,-32.996506,?,?,?,?
1029,'2018/02/24 11:55:35:861',5,25.497204,-61.121025,-37.531189,?,?,?,?
1030,'2018/02/24 11:55:35:911',5,25.048012,-53.455803,-42.1185,?,?,?,?
1031,'2018/02/24 11:55:35:935',5,24.482853,-45.576782,-45.719681,?,?,?,?
1032,'2018/02/24 11:55:35:962',5,24.099022,-38.024605,-48.938339,?,?,?,?
1033,'2018/02/24 11:55:35:994',5,24.116049,-29.86599,-49.134613,?,?,?,?
1034,'2018/02/24 11:55:36:030',5,24.544048,-20.430107,-45.28421,?,?,?,?
1035,'2018/02/24 11:55:36:064',5,22.876225,-11.465199,-47.712341,?,?,?,?
1036,'2018/02/24 11:55:36:098',5,25.741343,-2.250053,-38.781342,?,?,?,?
1037,'2018/02/24 11:55:36:131',5,25.545975,5.10379,-34.435165,?,?,?,?
1038,'2018/02/24 11:55:36:163',5,24.905182,9.205814,-29.132401,?,?,?,?
1039,'2018/02/24 11:55:36:196',5,23.175468,11.283577,-24.923706,?,?,?,?
1040,'2018/02/24 11:55:36:230',5,22.283865,12.215679,-21.800201,?,?,?,?
1041,'2018/02/24 11:55:36:261',5,21.19582,15.507889,-18.491608,?,?,?,?
1042,'2018/02/24 11:55:36:298',5,19.120358,17.886353,-16.565063,?,?,?,?
1043,'2018/02/24 11:55:36:334',5,17.623693,20.045959,-15.295258,?,?,?,?
1044,'2018/02/24 11:55:36:360',5,16.609352,21.318436,-13.669846,?,?,?,?
1045,'2018/02/24 11:55:36:397',5,15.819702,21.972828,-11.930634,?,?,?,?
1046,'2018/02/24 11:55:36:427',5,15.306299,22.190323,-10.311554,?,?,?,?
1047,'2018/02/24 11:55:36:468',5,14.986305,21.98719,-8.692123,?,?,?,?
1048,'2018/02/24 11:55:36:496',5,14.779986,21.632759,-7.425751,?,?,?,?
1049,'2018/02/24 11:55:36:533',5,14.710859,21.289322,-6.53717,?,?,?,?
1050,'2018/02/24 11:55:36:567',5,14.736753,20.948311,-5.898758,?,?,?,?
1051,'2018/02/24 11:55:36:602',5,16.488863,19.863556,-6.307602,?,?,?,?
1052,'2018/02/24 11:55:36:627',5,15.390967,19.733772,-5.350464,?,?,?,?
1053,'2018/02/24 11:55:36:664',5,19.224945,16.042435,-9.851395,?,?,?,?
1054,'2018/02/24 11:55:36:696',5,21.590099,12.136909,-12.49118,?,?,?,?
1055,'2018/02/24 11:55:36:728',5,23.777161,7.446499,-16.954208,?,?,?,?
1056,'2018/02/24 11:55:36:763',5,24.876963,2.735649,-19.688507,?,?,?,?
1057,'2018/02/24 11:55:36:796',5,24.963953,-1.94236,-21.678925,?,?,?,?
1058,'2018/02/24 11:55:36:829',5,20.593273,-2.486538,-17.301865,?,?,?,?
1059,'2018/02/24 11:55:36:864',5,21.024815,-9.837566,-22.192764,?,?,?,?
1060,'2018/02/24 11:55:36:897',5,21.122707,-15.585676,-24.642151,?,?,?,?
1061,'2018/02/24 11:55:36:933',5,20.975838,-21.08272,-28.792908,?,?,?,?
1062,'2018/02/24 11:55:36:961',5,21.665964,-27.417351,-32.039917,?,?,?,?
1063,'2018/02/24 11:55:36:997',5,22.449818,-34.084827,-36.887863,?,?,?,?
1064,'2018/02/24 11:55:37:030',5,24.049734,-40.998917,-43.520142,?,?,?,?
1065,'2018/02/24 11:55:37:061',5,24.791389,-50.816254,-44.835632,?,?,?,?
1066,'2018/02/24 11:55:37:097',5,24.132576,-58.565758,-35.131241,?,?,?,?
1067,'2018/02/24 11:55:37:138',5,25.176071,-68.841125,-28.765015,?,?,?,?
1068,'2018/02/24 11:55:37:169',5,24.582769,-75.116379,-29.351379,?,?,?,?
1069,'2018/02/24 11:55:37:196',5,24.231756,-79.161896,-27.081467,?,?,?,?
1070,'2018/02/24 11:55:37:228',5,23.780064,-81.59436,-25.393677,?,?,?,?
1071,'2018/02/24 11:55:37:263',5,23.267923,-81.466751,-23.946045,?,?,?,?
1072,'2018/02/24 11:55:37:296',5,22.808615,-80.724213,-22.35202,?,?,?,?
1073,'2018/02/24 11:55:37:341',5,22.427422,-79.721275,-21.434372,?,?,?,?
1074,'2018/02/24 11:55:37:378',5,22.213907,-78.782639,-20.947662,?,?,?,?
1075,'2018/02/24 11:55:37:402',5,22.10161,-78.166374,-20.559753,?,?,?,?
1076,'2018/02/24 11:55:37:429',5,22.110979,-77.647186,-20.422333,?,?,?,?
1077,'2018/02/24 11:55:37:464',5,22.259821,-77.224251,-20.446564,?,?,?,?
1078,'2018/02/24 11:55:37:497',5,22.500687,-77.022141,-20.529587,?,?,?,?
1079,'2018/02/24 11:55:37:533',5,22.734898,-76.890549,-20.350601,?,?,?,?
1080,'2018/02/24 11:55:37:567',5,22.970438,-76.903076,-20.079346,?,?,?,?
1081,'2018/02/24 11:55:37:594',5,23.445581,-76.829285,-19.924301,?,?,?,?
1082,'2018/02/24 11:55:37:632',5,23.713348,-76.844559,-19.219177,?,?,?,?
1083,'2018/02/24 11:55:37:663',5,24.369669,-77.074951,-18.66124,?,?,?,?
1084,'2018/02/24 11:55:37:696',5,24.213575,-77.072746,-17.490417,?,?,?,?
1085,'2018/02/24 11:55:37:729',5,24.035038,-76.408844,-16.23497,?,?,?,?
1086,'2018/02/24 11:55:37:763',5,23.434242,-76.182236,-15.036087,?,?,?,?
1087,'2018/02/24 11:55:37:800',5,22.402491,-76.060013,-13.871979,?,?,?,?
1088,'2018/02/24 11:55:37:829',5,22.638023,-77.829575,-14.463501,?,?,?,?
1089,'2018/02/24 11:55:37:864',5,22.608292,-77.354248,-13.791519,?,?,?,?
1090,'2018/02/24 11:55:37:899',5,21.037222,-77.566544,-12.570251,?,?,?,?
1091,'2018/02/24 11:55:37:933',5,20.037931,-77.100342,-12.212952,?,?,?,?
1092,'2018/02/24 11:55:37:966',5,20.489645,-77.052505,-12.430023,?,?,?,?
1093,'2018/02/24 11:55:37:997',5,19.832293,-77.997589,-13.019989,?,?,?,?
1094,'2018/02/24 11:55:38:032',5,19.640297,-78.831657,-13.272141,?,?,?,?
1095,'2018/02/24 11:55:38:065',5,18.837299,-78.36322,-13.396942,?,?,?,?
1096,'2018/02/24 11:55:38:096',5,19.670147,-77.604874,-13.16713,?,?,?,?
1097,'2018/02/24 11:55:38:134',5,18.961645,-77.372757,-12.439774,?,?,?,?
1098,'2018/02/24 11:55:38:166',5,18.354771,-76.995499,-12.164108,?,?,?,?
1099,'2018/02/24 11:55:38:201',5,18.723991,-76.389626,-12.405624,?,?,?,?
1100,'2018/02/24 11:55:38:230',5,19.209078,-76.337646,-12.482994,?,?,?,?
1101,'2018/02/24 11:55:38:262',5,20.663757,-76.500816,-13.062393,?,?,?,?
1102,'2018/02/24 11:55:38:301',5,20.937199,-76.492264,-12.75441,?,?,?,?
1103,'2018/02/24 11:55:38:338',5,21.082327,-76.133064,-12.639336,?,?,?,?
1104,'2018/02/24 11:55:38:384',5,21.175007,-75.846848,-12.756241,?,?,?,?
1105,'2018/02/24 11:55:38:428',5,20.4702,-74.892998,-11.702965,?,?,?,?
1106,'2018/02/24 11:55:38:449',5,20.689701,-74.369965,-11.888573,?,?,?,?
1107,'2018/02/24 11:55:38:468',5,19.944759,-73.236137,-10.521484,?,?,?,?
1108,'2018/02/24 11:55:38:499',5,19.17001,-69.816742,-9.847519,?,?,?,?
1109,'2018/02/24 11:55:38:530',5,18.935795,-68.841042,-9.608078,?,?,?,?
1110,'2018/02/24 11:55:38:566',5,16.173611,-67.906113,-8.804619,?,?,?,?
1111,'2018/02/24 11:55:38:610',5,13.683693,-62.37933,-7.594368,?,?,?,?
1112,'2018/02/24 11:55:38:634',5,12.558758,-59.336628,-7.676132,?,?,?,?
1113,'2018/02/24 11:55:38:662',5,13.144905,-57.320923,-8.601555,?,?,?,?
1114,'2018/02/24 11:55:38:702',5,13.429348,-56.464676,-9.493347,?,?,?,?
1115,'2018/02/24 11:55:38:727',5,25.117579,-13.101579,23.077419,?,?,?,?
1116,'2018/02/24 11:56:18:345',6,-21.80217,-32.84549,-22.913345,?,?,?,?
1117,'2018/02/24 11:56:18:374',6,-21.805943,-32.815918,-22.843224,?,?,?,?
1118,'2018/02/24 11:56:18:407',6,-24.418198,-31.551624,-21.010277,?,?,?,?
1119,'2018/02/24 11:56:18:439',6,-25.703587,-30.880661,-19.895309,?,?,?,?
1120,'2018/02/24 11:56:18:475',6,-26.427937,-30.515411,-19.243423,?,?,?,?
1121,'2018/02/24 11:56:18:506',6,-26.878744,-30.317192,-18.846748,?,?,?,?
